pair_id,associated_dis,country,iso3,year,disaster_type,disaster_subtype,disaster_type_final,is_drought,is_earthquake,is_warm_anom,is_cold_anom,is_extreme_temp,is_flood,is_landslide,is_tropical,is_unknown_storm,is_convective_storm,minmax_intensity,X Intensity,int_drought,int_earthquake,int_extreme_temp,int_flood,int_landslide,int_tropical,int_unknown_storm,int_conv_storm,Richter,warm_anom,cold_anom,drought_days,extreme_temp_days,prcp_sum,elevation,fault_density,slope,road_density,mm_elevation,mm_fault_density,mm_slope,mm_road_density,X Elevation,X Fault Density,X Slope,X Road Density,msl_pressure,wind_speed,multi,Hazard Group,ln10_Total_Damage,Y Damage ($ ln10),hdi,le,eys,mys,gnipc,gdi,gii,phdi,mm_phdi,multi_phdi,single_phdi,X PHDI,X PPP,Economy,Code,Region,income_group,income_group2,Income Group,is_high_upper_middle,is_low_lower_middle,Lending category,Other (EMU or HIPC),ppp,mm_ppp,multi_ppp,single_ppp,CAPE,start_year_x,start_month_x,start_day_x,start_date,ny_date,dist_to_ny,end_year,end_month,end_day,duration_days,lat,lon
p320,,Mexico,MEX,1997,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.34,0.34,0,0,0,0,0,0.34,0,0,0,23.21022222,0,0,0,224.51,1341.102417,0,9.865551949,361.0652161,0.27,0,0.43,0.09,0.27,0,0.43,0.09,101841.89,19.86,0,Single Hazard,5.858546822,5.858546822,0.688,72.4454,11.20818043,6.450794029,15959.72196,0.92,0.472,0.639,0.72,0,0.72,0.639,0.11,Mexico,MEX,Latin America & Caribbean,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,7393,0.11,0,0.11,5312.000702,1997,10,7,35710,35431,279,1997,10,10,4,17.30999136,-98.15757133
p321,"Slide (land, mud, snow, rock)",Chile,CHL,1997,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0,0,0,0,7,0,0,0,0,30.65,1761.347412,0,12.20562363,122.5466995,0.36,0,0.54,0.03,0.36,0,0.54,0.03,0,0,1,Multi-hazard,4.888701682,4.888701682,0.744,75.5958,12.35315189,8.931083681,14454.45044,0.94,0.467,0.693,0.82,0.82,0,0.693,0.13,Chile,CHL,Latin America & Caribbean,High income,High_income,High,1,0,IBRD,,8242,0.13,0.13,0,1713.60896,1997,10,14,35717,35431,286,1997,10,14,1,-30.74279351,-70.8906677
p322,"Slide (land, mud, snow, rock)",Spain,ESP,1997,storm,Unknown,unclassified storm,0,0,0,0,0,0,0,0,1,0,0.26,0.26,0,0,0,0,0,0,0.26,0,0,11.60077778,0,0,0,155.95,420.6997986,0.00000205,2.945552349,277.7893677,0.09,0.03,0.13,0.07,0.09,0.03,0.13,0.07,102883.98,14.02,1,Multi-hazard,3.906442794,3.906442794,0.808,78.8534,15.67298031,7.254840741,29978.92556,0.963,0.141,0.709,0.85,0.85,0,0.709,0.32,Spain,ESP,Europe & Central Asia,High income,High_income,High,1,0,,EMU,20326,0.32,0.32,0,1453.574413,1997,10,30,35733,35431,302,1997,11,8,10,38.70911183,-6.141719508
p323,,Mexico,MEX,1997,extreme temperature ,Cold wave,extreme temperature ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.543333333,0,0,1,18.36,1834.613892,0.00000365,5.259647369,677.0908203,0.37,0.05,0.23,0.16,0.37,0.05,0.23,0.16,0,0,0,Single Hazard,3.809492377,3.809492377,0.688,72.4454,11.20818043,6.450794029,15959.72196,0.92,0.472,0.639,0.72,0,0.72,0.639,0.17,Mexico,MEX,Latin America & Caribbean,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,10891,0.17,0,0.17,819.3894374,1997,12,13,35777,35431,346,1997,12,13,1,21.30464161,-102.8752206
p324,"Slide (land, mud, snow, rock)",Uganda,UGA,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.12,0.12,0,0,0,0.12,0,0,0,0,0,23.85111111,0,0,0,356.68,1107.604492,0.000000584,1.591133595,156.39505,0.22,0.01,0.07,0.04,0.22,0.01,0.07,0.04,0,0,1,Multi-hazard,3.207365037,3.207365037,0.364,46.9767,6.757318815,3.712369008,1174.535886,0.837,0.652,0.36,0.19,0.19,0,0.36,0.01,Uganda,UGA,Sub-Saharan Africa,Low income,Low_income,Low,0,1,IDA,HIPC,990,0.01,0.01,0,9344.40694,1997,11,14,35748,35431,317,1997,11,28,15,1.040396451,32.51378299
p325,,United States,USA,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.02,0.02,0,0,0,0,0,0,0,0.02,0,0,-10.02688889,0,0,119.51,453.9077148,0,0.407235771,109.9572906,0.09,0,0.02,0.03,0.09,0,0.02,0.03,102862.04,16.37,0,Single Hazard,3.508529719,3.508529719,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.56,United States,USA,North America,High income,High_income,High,1,0,,,35082,0.56,0,0.56,227.296385,1997,1,4,35434,35431,3,1997,1,4,1,46.07828005,-98.2986029
p326,,United States,USA,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.13,0.13,0,0,0,0.13,0,0,0,0,0,2.949111111,0,0,0,386.84,1897.934204,0.0000358,5.516027927,57.31888962,0.38,0.45,0.24,0.01,0.38,0.45,0.24,0.01,0,0,0,Single Hazard,5.596628979,5.596628979,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.71,United States,USA,North America,High income,High_income,High,1,0,,,44139,0.71,0,0.71,847.4507195,1997,1,25,35455,35431,24,1997,1,25,1,38.3001986,-118.1314293
p327,,United States,USA,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.31,0.31,0,0,0,0,0,0,0,0.31,0,13.94411111,0,0,0,24.25,522.9974365,0,1.081303,200.8455048,0.11,0,0.05,0.05,0.11,0,0.05,0.05,103218.07,13.27,0,Single Hazard,4.90643202,4.90643202,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.62,United States,USA,North America,High income,High_income,High,1,0,,,38783,0.62,0,0.62,3438.442434,1997,4,10,35530,35431,99,1997,4,10,1,31.49105418,-99.35798439
p328,,United States,USA,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.36,0.36,0,0,0,0,0,0,0,0.36,0,21.50544444,0,0,0,0.76,107.5607605,0,0.960414231,360.1569519,0.02,0,0.04,0.09,0.02,0,0.04,0.09,101481.08,11.1,0,Single Hazard,5.605403102,5.605403102,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.51,United States,USA,North America,High income,High_income,High,1,0,,,31660,0.51,0,0.51,3931.385623,1997,4,21,35541,35431,110,1997,4,21,1,32.04366519,-89.46260061
p329,,Egypt,EGY,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.08,0.08,0,0,0,0,0,0,0,0.08,0,27.161,0,0,0,0.37,151.5570526,0.00000237,0.934788048,281.8253479,0.03,0.03,0.04,0.07,0.03,0.03,0.04,0.07,101816.17,12.89,0,Single Hazard,3.207365037,3.207365037,0.619,67.1967,10.74684787,6.341912937,6943.988418,0.845,0.635,0.596,0.64,0,0.64,0.596,0.1,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,6723,0.1,0,0.1,964.3727282,1997,5,2,35552,35431,121,1997,5,2,1,29.48602125,30.82061955
p330,,United States,USA,1997,storm,Unknown,unclassified storm,0,0,0,0,0,0,0,0,1,0,0.17,0.17,0,0,0,0,0,0,0.17,0,0,17.43611111,0,0,0,395.21,222.3442078,0,1.612401485,874.6970215,0.05,0,0.07,0.21,0.05,0,0.07,0.21,102033.52,11.59,0,Single Hazard,5.38355507,5.38355507,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.59,United States,USA,North America,High income,High_income,High,1,0,,,36837,0.59,0,0.59,3917.354981,1997,5,2,35552,35431,121,1997,5,2,1,33.13159012,-85.37347735
p331,,United States,USA,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.38,0.38,0,0,0,0,0,0,0,0.38,0,16.33366667,0,0,0,29.16,207.2555847,0,0.349279821,494.8449402,0.04,0,0.02,0.12,0.04,0,0.02,0.12,102319.19,11.4,0,Single Hazard,5.508493358,5.508493358,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.7,United States,USA,North America,High income,High_income,High,1,0,,,43824,0.7,0,0.7,4189.549418,1997,5,17,35567,35431,136,1997,5,17,1,40.40768045,-88.29157743
p332,,India,IND,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.13,0.13,0,0,0,0.13,0,0,0,0,0,28.46844444,0,0,0,401.3,87.6650238,0,0.544051051,476.242218,0.02,0,0.02,0.11,0.02,0,0.02,0.11,0,0,0,Single Hazard,5.394418407,5.394418407,0.471,61.3876,8.209850311,3.636723042,2249.544553,0.734,0.688,0.461,0.38,0,0.38,0.461,0.04,India,IND,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,2809,0.04,0,0.04,5392.443044,1997,6,22,35603,35431,172,1997,6,28,7,23.18724099,72.54503568
p333,,United Kingdom,GBR,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.09,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0,0,285.59,208.080246,0,3.073364735,353.0137634,0.04,0,0.13,0.09,0.04,0,0.13,0.09,0,0,0,Single Hazard,5.200459238,5.200459238,0.842,77.1418,15.33188661,10.32771614,34071.49387,0.972,0.238,0.699,0.83,0,0.83,0.699,0.46,United Kingdom,GBR,Europe & Central Asia,High income,High_income,High,1,0,,,29013,0.46,0,0.46,270.3236843,1997,7,1,35612,35431,181,1997,7,2,2,57.4710202,-3.269744029
p334,,United States,USA,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.02,0.02,0,0,0,0.02,0,0,0,0,0,20.58833333,0,0,0,55.19,1966.600098,0,3.287390471,646.3502808,0.4,0,0.14,0.16,0.4,0,0.14,0.16,0,0,0,Single Hazard,5.207462015,5.207462015,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.68,United States,USA,North America,High income,High_income,High,1,0,,,42494,0.68,0,0.68,5498.14054,1997,7,25,35636,35431,205,1997,8,1,8,40.61108663,-104.9263259
p335,,United States,USA,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.44,0.44,0,0,0,0,0,0,0,0.44,0,11.29111111,0,0,0,203.59,2089.392822,0,4.144520283,847.2331543,0.42,0,0.18,0.2,0.42,0,0.18,0.2,102628.56,9.95,0,Single Hazard,5.38355507,5.38355507,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.71,United States,USA,North America,High income,High_income,High,1,0,,,43918,0.71,0,0.71,4853.666428,1997,8,11,35653,35431,222,1997,8,11,1,39.75636881,-104.8787394
p336,,United Kingdom,GBR,1997,flood,Unknown,flood,0,0,0,0,0,1,0,0,0,0,0.07,0.07,0,0,0,0.07,0,0,0,0,0,17.27333333,0,0,0,201.5,320.8901367,0,5.940006733,544.2521362,0.07,0,0.26,0.13,0.07,0,0.26,0.13,0,0,0,Single Hazard,5.38355507,5.38355507,0.842,77.1418,15.33188661,10.32771614,34071.49387,0.972,0.238,0.699,0.83,0,0.83,0.699,0.46,United Kingdom,GBR,Europe & Central Asia,High income,High_income,High,1,0,,,29003,0.46,0,0.46,1891.330414,1997,8,13,35655,35431,224,1997,8,13,1,56.85122499,-4.180949246
p337,,United States,USA,1997,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.55,0.55,0,0,0,0,0,0,0,0.55,0,21.19355556,0,0,0,243.15,269.3810425,0,0.386495739,815.979187,0.05,0,0.02,0.2,0.05,0,0.02,0.2,102098.31,14.01,0,Single Hazard,5.508493358,5.508493358,0.89,76.498,15.96238518,13.06785297,45256.99435,0.988,0.282,0.622,0.68,0,0.68,0.622,0.64,United States,USA,North America,High income,High_income,High,1,0,,,40015,0.64,0,0.64,6105.199609,1997,8,15,35657,35431,226,1997,8,15,1,40.62860635,-84.01961812
p338,,Switzerland,CHE,1997,flood,Unknown,flood,0,0,0,0,0,1,0,0,0,0,0.02,0.02,0,0,0,0.02,0,0,0,0,0,18.34233333,0,0,0,63.02,1209.486328,0.00000212,13.40207481,1242.18689,0.25,0.03,0.59,0.3,0.25,0.03,0.59,0.3,0,0,0,Single Hazard,5.043153924,5.043153924,0.875,79.2324,14.80767012,10.54390999,58380.08119,0.938,0.106,0.689,0.81,0,0.81,0.689,0.63,Switzerland,CHE,Europe & Central Asia,High income,High_income,High,1,0,,,38992,0.63,0,0.63,4321.437444,1997,8,17,35659,35431,228,1997,8,17,1,46.83515234,8.247084888
p339,Flood,Vietnam,VNM,1997,storm,Tropical cyclone,tropical cyclone,0,0,0,0,0,0,0,1,0,0,0.21,0.21,0,0,0,0,0,0.21,0,0,0,0,0,0,0,543.68,294.6090393,0.00000631,5.51995945,300.5641785,0.06,0.08,0.24,0.07,0.06,0.08,0.24,0.07,102067.05,14.91,1,Multi-hazard,3.906442794,3.906442794,0.56,71.8017,10.02335751,5.129886168,2564.376914,0.947,0.358,0.549,0.55,0.55,0,0.549,0.02,Vietnam,VNM,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,1742,0.02,0.02,0,3885.552195,1997,9,20,35693,35431,262,1997,9,29,10,16.46810635,107.4406407
p340,,Armenia,ARM,1997,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.87544444,0,0,0,238.36,1338.177246,0.0000531,6.881086349,253.6710052,0.27,0.67,0.3,0.06,0.27,0.67,0.3,0.06,0,0,0,Single Hazard,4.730338067,4.730338067,0.641,69.9098,10.53719044,10.27472943,3596.499376,0.974,0.446,0.626,0.69,0,0.69,0.626,0.05,Armenia,ARM,Europe & Central Asia,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,3183,0.05,0,0.05,1844.56161,1997,7,18,35629,35431,198,1997,7,18,1,40.91141419,45.13013983
p341,,Greece,GRC,1997,flood,Unknown,flood,0,0,0,0,0,1,0,0,0,0,0.19,0.19,0,0,0,0.19,0,0,0,0,0,10.859,0,0,0,587.56,422.5578003,0.0000289,7.201568127,622.9123535,0.09,0.36,0.32,0.15,0.09,0.36,0.32,0.15,0,0,0,Single Hazard,5.411582672,5.411582672,0.789,78.3187,13.13731003,8.590425764,25963.03183,0.953,0.25,0.668,0.77,0,0.77,0.668,0.34,Greece,GRC,Europe & Central Asia,High income,High_income,High,1,0,,EMU,21274,0.34,0,0.34,1604.16996,1997,1,12,35442,35431,11,1997,1,13,2,38.37217319,22.66894452
p342,,Iran,IRN,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.03,0.03,0,0,0,0.03,0,0,0,0,0,23.40955556,0,0,0,81.89,1787.00769,0.0000072,5.183481216,120.4985428,0.36,0.09,0.23,0.03,0.36,0.09,0.23,0.03,0,0,0,Single Hazard,3.906442794,3.906442794,0.662,68.359,11.12385988,7.674992449,9576.532898,0.783,0.612,0.618,0.68,0,0.68,0.618,0.11,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,7317,0.11,0,0.11,3602.133246,1997,7,2,35613,35431,182,1997,7,6,5,37.46414553,46.72018569
p343,,Iran,IRN,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,20.58688889,0,0,0,31.49,1188.877441,0.0000183,6.198687077,76.99478912,0.24,0.23,0.27,0.02,0.24,0.23,0.27,0.02,0,0,0,Single Hazard,4.508489318,4.508489318,0.662,68.359,11.12385988,7.674992449,9576.532898,0.783,0.612,0.618,0.68,0,0.68,0.618,0.1,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,6515,0.1,0,0.1,2932.40398,1997,6,18,35599,35431,168,1997,6,28,11,38.44717843,48.04621764
p344,,Philippines,PHL,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.59,0.59,0,0,0,0.59,0,0,0,0,0,0,0,0,0,1801.97,180.2183838,0.0000171,3.388892174,88.23003387,0.04,0.22,0.15,0.02,0.04,0.22,0.15,0.02,0,0,0,Single Hazard,2.089905111,2.089905111,0.625,68.8841,11.17542982,7.450681162,4651.226901,0.955,0.497,0.609,0.66,0,0.66,0.609,0.03,Philippines,PHL,East Asia & Pacific,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,2328,0.03,0,0.03,3288.782262,1997,3,9,35498,35431,67,1997,3,13,5,8.960074931,125.8631885
p345,,Colombia,COL,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.08,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,260.86,51.15267181,0.0000037,0.86153537,637.5635986,0.01,0.05,0.04,0.15,0.01,0.05,0.04,0.15,0,0,0,Single Hazard,3.684576087,3.684576087,0.66,70.4919,11.36605501,6.705590942,9376.680714,0.971,0.508,0.626,0.69,0,0.69,0.626,0.09,Colombia,COL,Latin America & Caribbean,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,5729,0.09,0,0.09,8395.000229,1997,10,14,35717,35431,286,1997,10,16,3,9.697567676,-75.16240561
p346,,Sri Lanka,LKA,1997,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.11,0.11,0,0,0,0.11,0,0,0,0,0,0,0,0,0,337.22,184.5073547,0,3.186081171,1247.742188,0.04,0,0.14,0.3,0.04,0,0.14,0.3,0,0,0,Single Hazard,2.830588669,2.830588669,0.678,72.1364,12.06216532,9.496716618,5177.27301,0.955,0.461,0.667,0.77,0,0.77,0.667,0.06,Sri Lanka,LKA,South Asia,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,4155,0.06,0,0.06,4120.331589,1997,9,13,35686,35431,255,1997,9,19,7,6.986914776,80.18219377
p347,,Canada,CAN,1998,storm,Unknown,unclassified storm,0,0,0,0,0,0,0,0,1,0,0.22,0.22,0,0,0,0,0,0,0.22,0,0,0,-5.565777778,0,0,94.92,173.5793457,0,1.869304895,771.0373535,0.04,0,0.08,0.19,0.04,0,0.08,0.19,104191.57,13.01,0,Single Hazard,6.376864445,6.376864445,0.879,78.6739,16.06448936,12.13631735,34953.18758,0.979,0.162,0.618,0.68,0,0.68,0.618,0.57,Canada,CAN,North America,High income,High_income,High,1,0,,,35288,0.57,0,0.57,116.9220088,1998,1,4,35799,35796,3,1998,1,10,7,45.48656223,-73.43477986
p348,,Australia,AUS,1998,flood,Coastal flood,flood,0,0,0,0,0,1,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,27.46166667,0,0,0,23.71,248.8042297,0,0.312890381,78.71718597,0.05,0,0.01,0.02,0.05,0,0.01,0.02,0,0,0,Single Hazard,4.988233337,4.988233337,0.891,79.0275,20.46224033,11.30790549,35853.05196,0.966,0.169,0.59,0.62,0,0.62,0.59,0.49,Australia,AUS,East Asia & Pacific,High income,High_income,High,1,0,,,30420,0.49,0,0.49,1215.988891,1998,1,1,35796,35796,0,1998,2,1,32,-22.56759196,144.5460786
p349,Cold wave,United States,USA,1998,storm,Unknown,unclassified storm,0,0,0,0,0,0,0,0,1,0,0.51,0.51,0,0,0,0,0,0,0.51,0,0,0,-6.279222222,0,0,57.33,233.463028,0,2.318455458,211.1250763,0.05,0,0.1,0.05,0.05,0,0.1,0.05,104162.83,20.42,1,Multi-hazard,6.34690117,6.34690117,0.893,76.66,15.96201992,13.03310394,47253.20126,0.991,0.28,0.615,0.67,0.67,0,0.615,0.59,United States,USA,North America,High income,High_income,High,1,0,,,36926,0.59,0.59,0,119.728137,1998,1,5,35800,35796,4,1998,1,12,8,45.37984562,-69.22915047
p350,,Malawi,MWI,1998,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.19,0.19,0,0,0,0.19,0,0,0,0,0,23.28611111,0,0,0,571.88,810.2794189,0.0000228,2.426759481,94.68062592,0.16,0.29,0.11,0.02,0.16,0.29,0.11,0.02,0,0,0,Single Hazard,2.149219113,2.149219113,0.369,42.8479,10.91965675,2.708689928,1112.580694,0.863,0.704,0.366,0.21,0,0.21,0.366,0.01,Malawi,MWI,Sub-Saharan Africa,Low income,Low_income,Low,0,1,IDA,HIPC,703,0.01,0,0.01,8838.368486,1998,1,19,35814,35796,18,1998,2,4,17,-12.85273685,34.6630691
p351,,Australia,AUS,1998,flood,Coastal flood,flood,0,0,0,0,0,1,0,0,0,0,0.24,0.24,0,0,0,0.24,0,0,0,0,0,27.33066667,0,0,0,743.53,187.1344299,0,1.063885808,65.09347534,0.04,0,0.05,0.02,0.04,0,0.05,0.02,0,0,0,Single Hazard,5.200773915,5.200773915,0.891,79.0275,20.46224033,11.30790549,35853.05196,0.966,0.169,0.59,0.62,0,0.62,0.59,0.59,Australia,AUS,East Asia & Pacific,High income,High_income,High,1,0,,,36859,0.59,0,0.59,5018.292616,1998,1,25,35820,35796,24,1998,1,28,4,-14.44592519,132.2718442
p352,"Slide (land, mud, snow, rock)",United States,USA,1998,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,344.59,17.70424461,0,0.323402107,1593.435059,0,0,0.01,0.38,0,0,0.01,0.38,102198.41,19.17,1,Multi-hazard,5.376865175,5.376865175,0.893,76.66,15.96201992,13.03310394,47253.20126,0.991,0.28,0.615,0.67,0.67,0,0.615,0.67,United States,USA,North America,High income,High_income,High,1,0,,,41863,0.67,0.67,0,2282.317611,1998,2,22,35848,35796,52,1998,2,23,2,28.61236995,-81.19082605
p353,,United States,USA,1998,storm,Unknown,unclassified storm,0,0,0,0,0,0,0,0,1,0,0.63,0.63,0,0,0,0,0,0,0.63,0,0,8.275888889,0,0,0,774.18,1206.624146,0.00000523,7.011418819,369.6746521,0.24,0.07,0.31,0.09,0.24,0.07,0.31,0.09,101648.75,23.5,0,Single Hazard,5.200773915,5.200773915,0.893,76.66,15.96201992,13.03310394,47253.20126,0.991,0.28,0.615,0.67,0,0.67,0.615,0.74,United States,USA,North America,High income,High_income,High,1,0,,,46094,0.74,0,0.74,449.9158897,1998,2,3,35829,35796,33,1998,2,3,1,37.24501172,-119.6076352
p354,Hail,United States,USA,1998,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.09,0.09,0,0,0,0,0,0,0,0.09,0,14.05511111,0,0,0,57.99,55.55843735,0,0.787899435,842.246521,0.01,0,0.03,0.2,0.01,0,0.03,0.2,102482.58,15.67,1,Multi-hazard,4.996651745,4.996651745,0.893,76.66,15.96201992,13.03310394,47253.20126,0.991,0.28,0.615,0.67,0.67,0,0.615,0.54,United States,USA,North America,High income,High_income,High,1,0,,,33695,0.54,0.54,0,988.6925061,1998,2,10,35836,35796,40,1998,2,10,1,31.11548017,-88.65835381
p355,,Uruguay,URY,1998,flood,Unknown,flood,0,0,0,0,0,1,0,0,0,0,0.17,0.17,0,0,0,0.17,0,0,0,0,0,20.54566667,0,0,0,535.48,142.5857697,0,1.228064656,298.2946472,0.03,0,0.05,0.07,0.03,0,0.05,0.07,0,0,0,Single Hazard,3.899765802,3.899765802,0.744,74.5267,13.85342979,7.890008518,15075.17988,1.012,0.414,0.638,0.71,0,0.71,0.638,0.16,Uruguay,URY,Latin America & Caribbean,High income,High_income,High,1,0,IBRD,,10194,0.16,0,0.16,4575.859735,1998,4,11,35896,35796,100,1998,5,8,28,-32.15987789,-56.12148644
p356,,Zambia,ZMB,1998,flood,Unknown,flood,0,0,0,0,0,1,0,0,0,0,0.09,0.09,0,0,0,0.09,0,0,0,0,0,24.29822222,0,0,0,275.43,1364.137451,0.00000304,1.593100429,61.18114471,0.28,0.04,0.07,0.01,0.28,0.04,0.07,0.01,0,0,0,Single Hazard,4.516746851,4.516746851,0.411,44.7011,8.259273529,5.691456413,1787.142659,0.859,0.646,0.405,0.28,0,0.28,0.405,0.03,Zambia,ZMB,Sub-Saharan Africa,Low income,Low_income,Low,0,1,IDA,HIPC,1931,0.03,0,0.03,9455.716692,1998,2,6,35832,35796,36,1998,2,6,1,-9.720136313,30.66660631
p357,,United States,USA,1998,flood,Riverine flood,flood,0,0,0,0,0,1,0,0,0,0,0.13,0.13,0,0,0,0.13,0,0,0,0,0,15.95022222,0,0,0,409.53,100.4930725,0,1.051232457,398.6798706,0.02,0,0.05,0.1,0.02,0,0.05,0.1,0,0,0,Single Hazard,5.632137274,5.632137274,0.893,76.66,15.96201992,13.03310394,47253.20126,0.991,0.28,0.615,0.67,0,0.67,0.615,0.61,United States,USA,North America,High income,High_income,High,1,0,,,37956,0.61,0,0.61,2860.380022,1998,3,7,35861,35796,65,1998,3,13,7,31.72065407,-85.82890736
p358,,United States,USA,1998,storm,Convective storm,convective storm,0,0,0,0,0,0,0,0,0,1,0.13,0.13,0,0,0,0,0,0,0,0.13,0,9.147222222,0,0,0,136.86,297.1956177,0,2.796080828,747.2004395,0.06,0,0.12,0.18,0.06,0,0.12,0.18,102406.68,9.77,0,Single Hazard,4.996651745,4.996651745,0.893,76.66,15.96201992,13.03310394,47253.20126,0.991,0.28,0.615,0.67,0,0.67,0.615,0.61,United States,USA,North America,High income,High_income,High,1,0,,,37950,0.61,0,0.61,1509.696977,1998,3,5,35859,35796,63,1998,3,9,5,34.42519133,-85.6080839
p359,Fire,China,CHN,1998,earthquake,Ground movement,earthquake,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0,0,0,0,6,0,-5.298777778,0,0,0.01,236.3528137,0,3.447009802,1071.078003,0.05,0,0.15,0.26,0.05,0,0.15,0.26,0,0,1,Multi-hazard,5.656379012,5.656379012,0.564,71.1721,9.309840202,5.571597767,2964.657096,0.896,0.278,0.533,0.52,0.52,0,0.533,0.06,China,CHN,East Asia & Pacific,Upper middle income,Upper_middle_income,Upper Middle,1,0,IBRD,,4296,0.06,0.06,0,30.86741031,1998,1,10,35805,35796,9,1998,1,10,1,39.54672665,116.1309498
p360,"Slide (land, mud, snow, rock)",Iran,IRN,1998,flood,Flash flood,flood,0,0,0,0,0,1,0,0,0,0,0.02,0.02,0,0,0,0.02,0,0,0,0,0,15.03011111,0,0,0,47.37,1326.217407,0.00000822,2.405033588,65.25521088,0.27,0.1,0.11,0.02,0.27,0.1,0.11,0.02,0,0,1,Multi-hazard,5.191998428,5.191998428,0.669,68.73,11.2939198,7.936083617,9667.874268,0.794,0.596,0.621,0.68,0.68,0,0.621,0.16,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,Lower_middle_income,Lower Middle,0,1,IBRD,,10435,0.16,0.16,0,2445.073047,1998,3,28,35882,35796,86,1998,4,4,8,33.78632372,52.21942622
